text,label,predict_prob,sim_label,predict_label
Du Thiên tuyên bố: Hiếu Khổng Lồ sau Lệ cay 3 chỉ còn là cái tên☝️😏,0.0,0.9472686052322388,0,1
Ae hãy tin vào tôi😉Sau Lệ Cay 3 thì Hiếu Khổng Lồ chỉ còn là Hiếu Tí Hon😏,0.6189681955686371,0.008437663316726685,1,0
Bỏ đi a thiên,0.6189681955686371,0.0013738522538915277,1,0
"Mình mới học võ được 1 tuần,mong thỉnh giáo",0.3094840977843185,0.10753977298736572,0,0
Phuc Thien An Ho,0.0,0.995154857635498,0,1
Du Thiên belike :,0.6189681955686371,0.0014303643256425858,1,0
Nhìn k chênh lệnh j luôn. Chúc 2 bạn luôn hp nhé. Hồi mình vô năm nhất Đại học ck mình cũng mới tốt nghiệp cấp 2 :)),0.9284522933529556,0.0013549639843404293,1,0
Vậy là phải vững tin chồng mình còn học tiểu học 🤧,0.9284522933529556,0.06616246700286865,1,0
Lấy chồng rồi mới ngẫm lúc mình học đại học rồi chồng mình mới học lớp 9 🥲,0.6189681955686371,0.0013746715849265456,1,0
Vậy là chồng t chắc còn đang đi học .,0.0,0.0016920182388275862,0,0
Minh Ngọc giờ chồng t ms đang năm 2 cứ bình tĩnh nhé =)),0.0,0.0015033058589324355,0,0
Hâhhah Lê Vân Hạ,0.3094840977843185,0.0014633748214691877,0,0
Lê Bích Liên kìa. Nhắm xem các tốp có em nào ngon zai thì kua đi,0.9284522933529556,0.00523307453840971,1,0
Thanh Bình 96 2k2 đẹp đấy,0.0,0.0014276072615757585,0,0
Phương Thảo :v,0.3094840977843185,0.0013965938705950975,0,0
Trang Ngan Bui trend mới 🤭,0.0,0.0014010164886713028,0,0
John Nguyen,0.0,0.001360907917842269,0,0
"Trần Thị Lệ Diễm wao, ước ao",0.9284522933529556,0.503634512424469,1,1
"Có 6 tuổi thôi, ăn thua gì 😂",0.3094840977843185,0.787045419216156,0,1
Con tui lớp 2 iu con lớp 7 ultr,0.0,0.0015032370574772358,0,0
96 tìm 2k2 ạ 😂😂,0.3094840977843185,0.001365029253065586,0,0
Có khi ck mình giờ đang chuẩn bị thi đại học,0.3094840977843185,0.04549922049045563,0,0
Phạm Hoài yên tâm là chồng còn đang vật lộn thi cấp 3 chưa đi tìm em được nhé🤣,0.3094840977843185,0.4124569892883301,0,0
Mình 96 ck 2k 😝,0.9284522933529556,0.0014202360762283206,1,0
Quá đỉnh em zai😎,0.9284522933529556,0.0013802876928821206,1,0
Yen Pham tình đẹp như mơ. Với hai nàng công túa,0.0,0.0014328809920698404,0,0
